species,facility,animal_id,date_collected,date_processed,sample_source,epg,detected,samples
White-tailed Deer,Peidmont_Substation,,4/24/24,4/24/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,4/24/24,4/24/24,ground,195,1,1
White-tailed Deer,Peidmont_Substation,,4/24/24,4/24/24,ground,190,1,1
White-tailed Deer,Peidmont_Substation,,4/24/24,4/24/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,4/24/24,4/24/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,4/24/24,4/25/24,ground,2450,1,1
White-tailed Deer,Peidmont_Substation,,4/24/24,4/25/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,4/24/24,4/24/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,4/24/24,4/24/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,4/24/24,4/24/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,100,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,50,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,250,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,150,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,50,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,700,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,150,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,100,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,50,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,700,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,150,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,250,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,50,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,6/10/24,6/10/24,ground,100,1,1
White-tailed Deer,Peidmont_Substation,,6/10/24,6/10/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,6/10/24,6/10/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,6/10/24,6/11/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,6/10/24,6/11/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,6/10/24,6/11/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,6/21/24,6/26/24,ground,50,1,1
White-tailed Deer,Peidmont_Substation,,6/21/24,6/10/24,ground,50,1,1
White-tailed Deer,Peidmont_Substation,,6/21/24,6/25/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,6/21/24,6/25/24,ground,200,1,1
White-tailed Deer,Peidmont_Substation,,6/21/24,6/26/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,6/21/24,6/26/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,6/21/24,6/26/24,ground,250,1,1
White-tailed Deer,Peidmont_Substation,,6/21/24,6/26/24,ground,200,1,1
White-tailed Deer,Peidmont_Substation,,6/21/24,6/25/24,ground,50,1,1
White-tailed Deer,Peidmont_Substation,,6/21/24,6/26/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,6/21/24,6/26/24,ground,1900,1,1
White-tailed Deer,Peidmont_Substation,,6/21/24,6/26/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,6/25/24,6/25/24,ground,2100,1,1
White-tailed Deer,Peidmont_Substation,,6/25/24,6/25/24,ground,1850,1,1
White-tailed Deer,Peidmont_Substation,,6/25/24,6/25/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,6/25/24,6/25/24,ground,1500,1,1
White-tailed Deer,Peidmont_Substation,,11/22/24,11/26/24,deer,49,0,1
White-tailed Deer,Peidmont_Substation,,11/22/24,11/26/24,deer,49,0,1
White-tailed Deer,Peidmont_Substation,,11/25/24,11/26/24,deer,100,1,1
White-tailed Deer,Peidmont_Substation,200823,11/26/24,12/3/24,deer,49,0,1
White-tailed Deer,Peidmont_Substation,202216,12/6/24,12/13/24,deer,49,0,1
White-tailed Deer,Peidmont_Substation,201814,12/5/24,12/13/24,deer,100,1,1
White-tailed Deer,Piedmont_Substation_OF,18,1/29/25,2/3/25,ground,49,1,1
White-tailed Deer,Piedmont_Substation_OF,34,1/29/25,2/3/25,ground,50,1,1
White-tailed Deer,Piedmont_Substation_OF,23,1/29/25,2/3/25,ground,50,1,1
White-tailed Deer,Piedmont_Substation_OF,21,1/29/25,2/3/25,ground,100,1,1
White-tailed Deer,Piedmont_Substation_OF,28,1/29/25,2/3/25,ground,150,1,1
White-tailed Deer,Piedmont_Substation_OF,17,1/29/25,2/3/25,ground,50,1,1
White-tailed Deer,Piedmont_Substation_OF,15,1/29/25,2/3/25,ground,50,1,1
White-tailed Deer,Piedmont_Substation_OF,16,1/29/25,2/3/25,ground,100,1,1
White-tailed Deer,Piedmont_Substation_OF,12,1/29/25,2/3/25,ground,2150,1,1
White-tailed Deer,Piedmont_Substation_OF,14,1/29/25,2/3/25,ground,49,1,1
White-tailed Deer,Piedmont_Substation_OF,13,1/29/25,2/3/25,ground,900,1,1
White-tailed Deer,Piedmont_Substation_OF,19,1/29/25,2/5/25,ground,550,1,1
White-tailed Deer,Piedmont_Substation_OF,11,1/29/25,2/5/25,ground,2150,1,1
White-tailed Deer,Piedmont_Substation_OF,27,1/29/25,2/5/25,ground,100,1,1
White-tailed Deer,Piedmont_Substation_OF,26,1/29/25,2/5/25,ground,1900,1,1
White-tailed Deer,Piedmont_Substation_OF,25,1/29/25,2/5/25,ground,49,1,1
White-tailed Deer,Piedmont_Substation_OF,22,1/29/25,2/5/25,ground,350,1,1
White-tailed Deer,Piedmont_Substation_OF,20,1/29/25,2/5/25,ground,49,1,1
White-tailed Deer,Piedmont_Substation_OF,24,1/29/25,2/5/25,ground,6500,1,1
White-tailed Deer,Piedmont_Substation_OF,32,1/29/25,2/6/25,ground,100,1,1
White-tailed Deer,Piedmont_Substation_OF,7,1/29/25,2/6/25,ground,49,0,1
White-tailed Deer,Piedmont_Substation_OF,6,1/29/25,2/6/25,ground,49,0,1
White-tailed Deer,Piedmont_Substation_OF,5,1/29/25,2/6/25,ground,50,1,1
White-tailed Deer,Piedmont_Substation_OF,10,1/29/25,2/6/25,ground,49,0,1
White-tailed Deer,Piedmont_Substation_OF,3,1/29/25,2/6/25,ground,49,0,1
White-tailed Deer,Piedmont_Substation_OF,4,1/29/25,2/6/25,ground,49,0,1
White-tailed Deer,Piedmont_Substation_OF,1,1/29/25,2/6/25,ground,600,1,1
White-tailed Deer,Piedmont_Substation_OF,2,1/29/25,2/6/25,ground,49,0,1
White-tailed Deer,Piedmont_Substation_OF,31,1/29/25,2/6/25,ground,400,1,1
White-tailed Deer,Piedmont_Substation_OF,30,1/29/25,2/6/25,ground,1350,1,1
White-tailed Deer,Piedmont_Substation_OF,29,1/29/25,2/6/25,ground,50,1,1
White-tailed Deer,Piedmont_Substation_OF,9,1/29/25,2/6/25,ground,49,1,1
White-tailed Deer,Piedmont_Substation_OF,8,1/29/25,2/6/25,ground,50,1,1
White-tailed Deer,Piedmont_Substation_OF,38,1/29/25,1/30/25,ground,49,1,1
White-tailed Deer,Piedmont_Substation_OF,37,1/29/25,1/30/25,ground,49,1,1
White-tailed Deer,Piedmont_Substation_OF,39,1/29/25,1/30/25,ground,49,1,1
White-tailed Deer,Piedmont_Substation_OF,36,1/29/25,1/30/25,ground,1500,1,1
White-tailed Deer,Piedmont_Substation_OF,33,1/29/25,1/30/25,ground,49,1,1
White-tailed Deer,Piedmont_Substation_OF,35,1/29/25,1/30/25,ground,300,1,1
White-tailed Deer,Peidmont_Substation,202313,1/13/25,2/1/25,deer,350,1,1
White-tailed Deer,Peidmont_Substation,202004,1/28/25,2/1/25,deer,50,1,1
White-tailed Deer,Peidmont_Substation,202317,1/28/25,2/1/25,deer,50,1,1
White-tailed Deer,Peidmont_Substation,202008,1/16/25,2/1/25,deer,100,1,1
White-tailed Deer,Peidmont_Substation,202314,1/13/25,2/1/25,deer,300,1,1
Sheep,au_vet_school,2228,5/24/24,5/24/24,sheep,300,1,1
Sheep,au_vet_school,794,5/24/24,5/24/24,sheep,1300,1,1
Sheep,au_vet_school,776,5/24/24,5/24/24,sheep,2000,1,1
Sheep,au_vet_school,2201,5/24/24,5/24/24,sheep,49,0,1
Sheep,au_vet_school,2208,5/24/24,5/24/24,sheep,49,0,1
Sheep,au_vet_school,2413,5/24/24,5/24/24,sheep,750,1,1
Sheep,au_vet_school,2414,5/24/24,5/24/24,sheep,150,1,1
Sheep,au_vet_school,2211,5/24/24,5/29/24,sheep,50,1,1
Sheep,au_vet_school,2250,5/24/24,5/29/24,sheep,50,1,1
Sheep,au_vet_school,2245,5/24/24,5/29/24,sheep,49,0,1
Sheep,au_vet_school,2243,5/24/24,5/29/24,sheep,49,0,1
Sheep,au_vet_school,2256,5/24/24,5/29/24,sheep,49,0,1
Sheep,au_vet_school,2417,5/24/24,5/29/24,sheep,550,1,1
Sheep,au_vet_school,782,5/24/24,5/29/24,sheep,300,1,1
Sheep,au_vet_school,2419,5/24/24,5/29/24,sheep,300,1,1
Sheep,au_vet_school,2244,6/12/24,6/12/24,sheep,49,1,1
Sheep,au_vet_school,776,6/12/24,6/13/24,sheep,1850,1,1
Sheep,au_vet_school,2250,6/12/24,6/13/24,sheep,500,1,1
Sheep,au_vet_school,2247,6/12/24,6/14/24,sheep,49,1,1
Sheep,au_vet_school,4733,6/12/24,6/14/24,sheep,2100,1,1
Sheep,au_vet_school,2245,6/12/24,6/14/24,sheep,49,1,1
Sheep,au_vet_school,782,6/12/24,6/14/24,sheep,49,1,1
Sheep,au_vet_school,2222,6/12/24,6/14/24,sheep,450,1,1
Sheep,au_vet_school,2242,6/12/24,6/14/24,sheep,50,1,1
Sheep,au_vet_school,2256,6/12/24,6/14/24,sheep,49,1,1
Sheep,au_vet_school,2248,6/12/24,6/14/24,sheep,100,1,1
Sheep,au_vet_school,2249,6/12/24,6/14/24,sheep,50,1,1
Sheep,au_vet_school,2243,6/12/24,6/14/24,sheep,50,1,1
Sheep,au_vet_school,2412,6/20/24,6/24/24,sheep,3300,1,1
Sheep,au_vet_school,2413,6/20/24,6/24/24,sheep,9700,1,1
Sheep,au_vet_school,2406,6/20/24,6/25/24,sheep,8400,1,1
Sheep,au_vet_school,2403,6/20/24,6/25/24,sheep,5250,1,1
Sheep,au_vet_school,2411,6/20/24,6/25/24,sheep,1900,1,1
Sheep,au_vet_school,764,8/21/24,8/24/24,sheep,200,1,1
Sheep,au_vet_school,2208,8/21/24,8/24/24,sheep,100,1,1
Sheep,au_vet_school,2241,8/21/24,8/24/24,sheep,50,1,1
Sheep,au_vet_school,2242,8/21/24,8/24/24,sheep,50,1,1
Sheep,au_vet_school,2245,8/21/24,8/24/24,sheep,49,1,1
Sheep,au_vet_school,2247,8/21/24,8/25/24,sheep,200,1,1
Sheep,au_vet_school,2248,8/21/24,8/25/24,sheep,50,1,1
Sheep,au_vet_school,2201,8/21/24,8/25/24,sheep,50,1,1
Sheep,au_vet_school,2211,8/21/24,8/25/24,sheep,200,1,1
Sheep,au_vet_school,2243,8/21/24,8/25/24,sheep,100,1,1
Sheep,au_vet_school,2244,8/21/24,8/25/24,sheep,49,1,1
Sheep,au_vet_school,749,8/21/24,8/25/24,sheep,49,1,1
Sheep,au_vet_school,2250,8/21/24,8/25/24,sheep,3800,1,1
Sheep,au_vet_school,4733,5/24/24,5/24/24,sheep,1800,1,1
Sheep,au_vet_school,2255,5/24/24,5/24/24,sheep,49,0,1
Sheep,au_vet_school,2247,5/24/24,5/29/24,sheep,49,0,1
Sheep,au_vet_school,2244,5/24/24,5/29/24,sheep,49,0,1
Sheep,au_vet_school,2255,6/12/24,6/12/24,sheep,49,1,1
Sheep,au_vet_school,2216,6/12/24,6/14/24,sheep,1500,1,1
Sheep,au_vet_school,2213,8/21/24,8/24/24,sheep,49,1,1
Sheep,au_vet_school,2255,8/21/24,8/25/24,sheep,49,1,1
Sheep,au_vet_school,2255,10/21/24,10/23/24,sheep,49,0,1
Sheep,au_vet_school,2247,10/21/24,10/23/24,sheep,2000,1,1
Sheep,au_vet_school,2244,10/21/24,10/23/24,sheep,2250,1,1
Sheep,au_vet_school,2248,10/21/24,10/23/24,sheep,150,1,1
Sheep,au_vet_school,36,10/21/24,10/23/24,sheep,2150,1,1
Sheep,au_vet_school,2242,10/21/24,10/23/24,sheep,200,1,1
Sheep,au_vet_school,2411,10/21/24,10/23/24,sheep,2800,1,1
Sheep,au_vet_school,2249,10/21/24,10/23/24,sheep,1800,1,1
Sheep,au_vet_school,2412,10/21/24,10/23/24,sheep,150,1,1
Goat,au_vet_school,2215,5/24/24,5/29/24,goat,950,1,1
Goat,au_vet_school,2234,5/24/24,5/29/24,goat,300,1,1
Goat,au_vet_school,2218,5/24/24,5/29/24,goat,1300,1,1
Goat,au_vet_school,2233,5/24/24,5/29/24,goat,550,1,1
Goat,au_vet_school,743,5/24/24,5/29/24,goat,2550,1,1
Goat,au_vet_school,795,5/24/24,5/29/24,goat,3100,1,1
Goat,au_vet_school,815,5/24/24,5/29/24,goat,1000,1,1
Goat,au_vet_school,Homer,5/24/24,5/29/24,goat,400,1,1
Goat,au_vet_school,2239,5/24/24,5/29/24,goat,2900,1,1
Goat,au_vet_school,2241,5/24/24,5/29/24,goat,49,1,1
Goat,au_vet_school,2418,5/24/24,5/29/24,goat,400,1,1
Goat,au_vet_school,2416,5/24/24,5/29/24,goat,650,1,1
Goat,au_vet_school,2415,5/24/24,5/29/24,goat,450,1,1
Goat,au_vet_school,815,6/20/24,6/20/24,goat,500,1,1
Goat,au_vet_school,4506,6/20/24,6/20/24,goat,4950,1,1
Goat,au_vet_school,2224,6/20/24,6/20/24,goat,4300,1,1
